func,algo,run,best_f,seconds
F12022,SCA,19,2.7274069410e+03,0.29
F12022,SCA,28,2.6797430615e+03,0.29
F12022,SCA,29,1.7168279491e+03,0.29
F12022,PSO,0,3.0000000058e+02,0.13
F12022,PSO,1,3.0000000017e+02,0.12
F12022,SCA,20,5.6995134125e+03,0.28
F12022,SCA,21,1.2087964475e+03,0.29
F12022,SCA,22,1.9384715329e+03,0.28
F12022,SCA,23,2.6648600575e+03,0.28
F12022,SCA,24,3.3474506723e+03,0.29
F12022,SCA,25,3.3122142550e+03,0.29
F12022,SCA,26,3.3730736141e+03,0.29
F12022,SCA,27,3.8604804647e+03,0.28
F12022,PSO,2,3.0000000162e+02,0.13
F12022,PSO,3,3.0000000238e+02,0.13
F12022,PSO,4,3.0000000111e+02,0.13
F12022,PSO,5,3.0000000001e+02,0.13
F12022,PSO,6,3.0000000027e+02,0.12
F12022,PSO,7,3.0000000023e+02,0.13
F12022,PSO,8,3.0000000010e+02,0.12
F12022,PSO,9,3.0000000037e+02,0.12
F12022,PSO,10,3.0000000619e+02,0.12
F12022,PSO,11,3.0000000005e+02,0.12
F12022,PSO,12,3.0000000016e+02,0.12
F12022,PSO,13,3.0000000480e+02,0.12
F12022,PSO,14,3.0000000114e+02,0.12
F12022,PSO,15,3.0000000028e+02,0.12
F12022,PSO,16,3.0000000006e+02,0.13
F12022,PSO,17,3.0000000056e+02,0.13
F12022,PSO,18,3.0000000283e+02,0.12
F12022,PSO,19,3.0000000131e+02,0.12
F12022,PSO,20,3.0000000043e+02,0.13
F12022,PSO,21,3.0000000006e+02,0.12
F12022,PSO,22,3.0000000576e+02,0.12
F12022,PSO,23,3.0000000247e+02,0.13
F12022,PSO,24,3.0000000118e+02,0.12
F12022,PSO,25,3.0000000105e+02,0.13
F12022,PSO,26,3.0000000022e+02,0.12
F12022,PSO,27,3.0000000019e+02,0.13
F12022,PSO,28,3.0000000002e+02,0.13
F12022,PSO,29,3.0000000011e+02,0.12
F12022,DE,0,3.0000000000e+02,0.39
F12022,DE,1,3.0000000000e+02,0.38
F12022,DE,2,3.0000000000e+02,0.40
F12022,DE,3,3.0072638891e+02,0.40
F12022,DE,4,3.0000000000e+02,0.40
F12022,DE,5,3.0000000000e+02,0.39
F12022,DE,6,3.0000000000e+02,0.39
F12022,DE,7,3.0000000000e+02,0.41
F12022,DE,8,3.0000000000e+02,0.41
F12022,DE,9,3.0000000000e+02,0.38
F12022,DE,10,3.0000000000e+02,0.41
F12022,DE,11,3.0000000000e+02,0.40
F12022,DE,12,3.0000000000e+02,0.41
F12022,DE,13,3.0000000000e+02,0.40
F12022,DE,14,3.0000000000e+02,0.39
F12022,DE,15,3.0000000007e+02,0.43
F12022,DE,16,3.0000000000e+02,0.43
F12022,DE,17,3.0000000000e+02,0.44
F12022,DE,18,3.0000000000e+02,0.43
F12022,DE,19,3.0000000000e+02,0.39
F12022,DE,28,3.0000001038e+02,0.45
F12022,DE,29,3.0000000000e+02,0.42
F12022,HHO,0,3.5673114144e+02,0.19
F12022,HHO,1,3.3077752388e+02,0.19
F12022,DE,20,3.0000000000e+02,0.45
F12022,DE,21,3.0000000000e+02,0.44
F12022,DE,22,3.0000000000e+02,0.42
F12022,DE,23,3.0000000000e+02,0.40
F12022,DE,24,3.0000000000e+02,0.44
F12022,DE,25,3.0006893174e+02,0.44
F12022,DE,26,3.0000000080e+02,0.40
F12022,DE,27,3.0000000000e+02,0.39
F12022,HHO,6,6.7756468761e+02,0.18
F12022,HHO,7,7.5966269813e+02,0.19
F12022,HHO,8,3.2486597498e+02,0.20
F12022,HHO,9,5.0937752399e+02,0.19
F12022,HHO,2,3.2318892145e+02,0.19
F12022,HHO,3,6.6185311120e+02,0.19
F12022,HHO,4,6.1820887357e+02,0.19
F12022,HHO,5,3.8559459134e+02,0.20
F12022,HHO,10,6.6292736100e+02,0.19
F12022,HHO,11,4.7889375301e+02,0.19
F12022,HHO,12,6.1475909398e+02,0.19
