func,algo,run,best_f,seconds
F52017,MSSBOA,11,5.0000004335e+02,2.31
F52017,MSSBOA,0,5.0000001545e+02,2.53
F52017,MSSBOA,1,5.0000000043e+02,2.36
F52017,MSSBOA,2,5.0000000204e+02,2.37
F52017,MSSBOA,3,5.0000000038e+02,2.45
F52017,MSSBOA,4,5.0000003664e+02,2.50
F52017,MSSBOA,5,5.0000005932e+02,2.39
F52017,MSSBOA,6,5.0000000043e+02,2.46
F52017,MSSBOA,7,5.0000000056e+02,2.31
F52017,MSSBOA,12,5.0000000001e+02,2.55
F52017,MSSBOA,13,5.0000000078e+02,2.36
F52017,MSSBOA,14,5.0000000171e+02,2.32
F52017,MSSBOA,15,5.0000000388e+02,2.35
F52017,MSSBOA,16,5.0000000082e+02,2.34
F52017,MSSBOA,17,5.0000046536e+02,2.62
F52017,MSSBOA,18,5.0000001074e+02,2.35
F52017,MSSBOA,19,5.0000000086e+02,2.37
F52017,MSSBOA,20,5.0000008378e+02,2.38
F52017,MSSBOA,21,5.0000002389e+02,2.45
F52017,MSSBOA,22,5.0000002178e+02,2.39
F52017,MSSBOA,23,5.0000000275e+02,2.41
F52017,MSSBOA,24,5.0000002059e+02,2.61
F52017,MSSBOA,25,5.0000003280e+02,2.43
F52017,MSSBOA,26,5.0000000050e+02,2.33
F52017,MSSBOA,27,5.0000009674e+02,2.38
F52017,MSSBOA,28,5.0000003342e+02,2.44
F52017,MSSBOA,29,5.0000002538e+02,2.32
F52017,SBOA,10,5.0000004489e+02,2.32
F52017,SBOA,11,5.0000001648e+02,2.29
F52017,SBOA,20,5.0000000192e+02,2.28
F52017,SBOA,21,5.0000017513e+02,2.28
F52017,SBOA,22,5.0000003957e+02,2.20
F52017,SBOA,23,5.0000001442e+02,2.21
F52017,SBOA,12,5.0000000354e+02,2.26
F52017,SBOA,13,5.0000001108e+02,2.45
F52017,SBOA,14,5.0000001121e+02,2.29
F52017,SBOA,15,5.0000001936e+02,2.37
F52017,SBOA,16,5.0000011713e+02,2.33
F52017,SBOA,17,5.0000001786e+02,2.47
F52017,SBOA,18,5.0000013777e+02,2.29
F52017,SBOA,19,5.0000004194e+02,2.35
F52017,SBOA,24,5.0000000754e+02,2.56
F52017,SBOA,25,5.0000002201e+02,2.29
F52017,SBOA,26,5.0000002065e+02,2.26
F52017,SBOA,27,5.0000153124e+02,2.42
F52017,SBOA,28,5.0000002791e+02,2.27
F52017,SBOA,29,5.0000000111e+02,2.20
F52017,SBOA-GPS,0,5.0000052519e+02,2.22
F52017,SBOA-GPS,1,5.0000005409e+02,2.30
F52017,SBOA-GPS,2,5.0000008349e+02,2.33
F52017,SBOA-GPS,3,5.0000001068e+02,2.21
F52017,SBOA-GPS,4,5.0000001727e+02,2.25
F52017,SBOA-GPS,5,5.0000026774e+02,2.37
F52017,SBOA-GPS,6,5.0000001233e+02,2.42
F52017,SBOA-GPS,7,5.0000010069e+02,2.34
F52017,SBOA-GPS,8,5.0000001955e+02,2.37
F52017,SBOA-GPS,9,5.0000002309e+02,2.39
F52017,SBOA-GPS,10,5.0000000264e+02,2.32
F52017,SBOA-GPS,11,5.0000000782e+02,2.30
F52017,SBOA-GPS,12,5.0000000121e+02,2.39
F52017,SBOA-GPS,13,5.0000001521e+02,2.33
F52017,SBOA-GPS,14,5.0000000055e+02,2.21
F52017,SBOA-GPS,15,5.0000002615e+02,2.20
F52017,SBOA-GPS,16,5.0000022116e+02,2.22
F52017,SBOA-GPS,17,5.0000000649e+02,2.20
F52017,SBOA-GPS,18,5.0000009671e+02,2.33
F52017,SBOA-GPS,19,5.0000111481e+02,2.27
F52017,SBOA-GPS,20,5.0000056000e+02,2.25
F52017,SBOA-GPS,21,5.0000024951e+02,2.34
F52017,SBOA-GPS,22,5.0000003530e+02,2.27
F52017,SBOA-GPS,23,5.0000003056e+02,2.25
F52017,SBOA-GPS,24,5.0000001721e+02,2.28
F52017,SBOA-GPS,25,5.0000000555e+02,2.49
F52017,SBOA-GPS,26,5.0000047346e+02,2.22
F52017,SBOA-GPS,27,5.0000026321e+02,2.26
F52017,SBOA-GPS,28,5.0000002257e+02,2.27
F52017,SBOA-GPS,29,5.0000000448e+02,2.42
F52017,SBOA-EDS,0,5.0000000042e+02,2.46
F52017,SBOA-EDS,1,5.0000000824e+02,2.30
F52017,SBOA-EDS,2,5.0000001031e+02,2.38
F52017,SBOA-EDS,3,5.0000000151e+02,2.30
F52017,SBOA-EDS,4,5.0000000007e+02,2.60
F52017,SBOA-EDS,5,5.0000000136e+02,2.36
F52017,SBOA-EDS,6,5.0000004236e+02,2.36
F52017,SBOA-EDS,7,5.0000002266e+02,2.34
F52017,SBOA-EDS,8,5.0000005401e+02,2.32
F52017,SBOA-EDS,9,5.0000003454e+02,2.30
F52017,SBOA-EDS,10,5.0000000146e+02,2.31
F52017,SBOA-EDS,11,5.0000000242e+02,2.27
F52017,SBOA-EDS,12,5.0000003615e+02,2.35
F52017,SBOA-EDS,13,5.0000000678e+02,2.36
F52017,SBOA-EDS,14,5.0000004821e+02,2.32
F52017,SBOA-EDS,15,5.0000002513e+02,2.48
F52017,SBOA-EDS,16,5.0000000232e+02,2.42
F52017,SBOA-EDS,17,5.0000001374e+02,2.29
F52017,SBOA-EDS,18,5.0000000181e+02,2.34
F52017,SBOA-EDS,19,5.0000002096e+02,2.28
F52017,SBOA-EDS,24,5.0000000760e+02,2.39
F52017,SBOA-EDS,25,5.0000015200e+02,2.30
F52017,SBOA-EDS,26,5.0000000110e+02,2.34
F52017,SBOA-EDS,27,5.0000023972e+02,2.29
F52017,SBOA-EDS,20,5.0000014700e+02,2.49
F52017,SBOA-EDS,21,5.0000000236e+02,2.36
F52017,SBOA-EDS,22,5.0000001088e+02,2.43
F52017,SBOA-EDS,23,5.0000001690e+02,2.38
F52017,SBOA-EDS,28,5.0000009224e+02,2.30
F52017,SBOA-EDS,29,5.0000000776e+02,2.30
F52017,SBOA-ERM,0,5.0000014131e+02,2.23
F52017,SBOA-ERM,1,5.0000007861e+02,2.26
F52017,SBOA-ERM,2,5.0000000834e+02,2.26
F52017,SBOA-ERM,3,5.0000014637e+02,2.37
F52017,SBOA-ERM,4,5.0000000241e+02,2.29
F52017,SBOA-ERM,5,5.0000000158e+02,2.24
F52017,SBOA-ERM,6,5.0000032108e+02,2.20
F52017,SBOA-ERM,7,5.0000018394e+02,2.28
F52017,SBOA-ERM,8,5.0000004758e+02,2.32
F52017,SBOA-ERM,9,5.0000014146e+02,2.24
F52017,SBOA-ERM,10,5.0000000131e+02,2.25
F52017,SBOA-ERM,11,5.0000004844e+02,2.29
F52017,SBOA-ERM,12,5.0000040152e+02,2.22
F52017,SBOA-ERM,13,5.0000001790e+02,2.23
F52017,SBOA-ERM,14,5.0000005234e+02,2.27
F52017,SBOA-ERM,15,5.0000003607e+02,2.24
F52017,SBOA-ERM,16,5.0000011518e+02,2.22
F52017,SBOA-ERM,17,5.0000045079e+02,2.20
F52017,SBOA-ERM,18,5.0000002891e+02,2.24
F52017,SBOA-ERM,19,5.0000003059e+02,2.28
