algo,lam,run,objective,risk,return
MSSBOA,0.95,0,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.95,1,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.95,2,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.95,3,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.95,4,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,1.00,0,1.0246844040e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,1.00,1,1.0246844040e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,1.00,2,1.0246844040e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,1.00,3,1.0246844040e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,1.00,4,1.0246844040e-05,1.0246844040e-05,3.3674000000e-04
SBOA,0.00,0,-1.0285630000e-02,4.1411510669e-03,1.0285630000e-02
SBOA,0.00,1,-1.0350670000e-02,4.1611437621e-03,1.0350670000e-02
SBOA,0.00,2,-1.0314820000e-02,4.1630687139e-03,1.0314820000e-02
SBOA,0.00,3,-1.0230770000e-02,4.1297017308e-03,1.0230770000e-02
SBOA,0.00,4,-1.0332380000e-02,4.1679511004e-03,1.0332380000e-02
SBOA,0.05,0,-9.5821052138e-03,4.1724657248e-03,1.0306030000e-02
SBOA,0.05,1,-9.5462585367e-03,4.1459292668e-03,1.0266900000e-02
SBOA,0.05,2,-9.5884339049e-03,4.1769919022e-03,1.0312930000e-02
SBOA,0.05,3,-9.5170083969e-03,4.1179920612e-03,1.0234640000e-02
SBOA,0.05,4,-9.6009693642e-03,4.1457327154e-03,1.0324480000e-02
SBOA,0.10,0,-8.8490134153e-03,4.1421858471e-03,1.0292480000e-02
SBOA,0.10,1,-8.8785102283e-03,4.1780577123e-03,1.0329239999e-02
SBOA,0.10,2,-8.8320668900e-03,4.1456010999e-03,1.0274030000e-02
SBOA,0.10,3,-8.8615410649e-03,4.1542493513e-03,1.0307740000e-02
SBOA,0.10,4,-8.9025517637e-03,4.1602123627e-03,1.0353970000e-02
SBOA,0.15,0,-8.0523545169e-03,4.1005798870e-03,1.0196990000e-02
SBOA,0.15,1,-8.1384101803e-03,4.1523621312e-03,1.0307370000e-02
SBOA,0.15,2,-8.1594697470e-03,4.1617350200e-03,1.0333800000e-02
SBOA,0.15,3,-8.1806489566e-03,4.1609602895e-03,1.0358580000e-02
SBOA,0.15,4,-8.1433474887e-03,4.1658000750e-03,1.0315550000e-02
SBOA,0.20,0,-7.4185473856e-03,4.1349830718e-03,1.0306930000e-02
SBOA,0.20,1,-7.3795493684e-03,4.1448531581e-03,1.0260650000e-02
SBOA,0.20,2,-7.3919805297e-03,4.1444573517e-03,1.0276090000e-02
SBOA,0.20,3,-7.3884619179e-03,4.1436104104e-03,1.0271480000e-02
SBOA,0.20,4,-7.4066932440e-03,4.1308137799e-03,1.0291070000e-02
SBOA,0.25,0,-6.6775134617e-03,4.1408361531e-03,1.0283630000e-02
SBOA,0.25,1,-6.6880260088e-03,4.1457659650e-03,1.0299290000e-02
SBOA,0.25,2,-6.6733046386e-03,4.1615414456e-03,1.0284920000e-02
SBOA,0.25,3,-6.6811207501e-03,4.1466269994e-03,1.0290370000e-02
SBOA,0.25,4,-6.7201925845e-03,4.1617296619e-03,1.0347500000e-02
SBOA,0.30,0,-6.0006109084e-03,4.1517436385e-03,1.0351620000e-02
SBOA,0.30,1,-5.9485282959e-03,4.1291423471e-03,1.0267530000e-02
SBOA,0.30,2,-6.0007519951e-03,4.1506666831e-03,1.0351360000e-02
SBOA,0.30,3,-5.9715893091e-03,4.1684956364e-03,1.0317340000e-02
SBOA,0.30,4,-5.9840332131e-03,4.1350426229e-03,1.0320780000e-02
SBOA,0.35,0,-5.2711949608e-03,4.1409443976e-03,1.0339270000e-02
SBOA,0.35,1,-5.2574398607e-03,4.1759732553e-03,1.0336970000e-02
SBOA,0.35,2,-5.2443417464e-03,4.1432521532e-03,1.0299200000e-02
SBOA,0.35,3,-5.2642881774e-03,4.1567409218e-03,1.0337150000e-02
SBOA,0.35,4,-5.2432203224e-03,4.1316919360e-03,1.0291250000e-02
SBOA,0.40,0,-4.5580045346e-03,3.6274406814e-03,1.0014968012e-02
SBOA,0.40,1,-4.5691106363e-03,3.6154450947e-03,1.0025481124e-02
SBOA,0.40,2,-4.5667306905e-03,3.6158608295e-03,1.0021791704e-02
SBOA,0.40,3,-4.5265537336e-03,3.6001067374e-03,9.9443273810e-03
SBOA,0.40,4,-4.5642323546e-03,3.6130362321e-03,1.0015744746e-02
