i,r,T_y,delta_Q,delta_M,eta,a0,entry_prob,d_entry_prob,d_u_rate_y_pp,queue_loss_pct_Y,d_V_entrant,gain_s_N,gain_s_v,gain_tau_q
78,0.037137064307732455,5.859415908770435,0.011993258105777754,0.17156715761099944,0.5046867913119019,24.273384555518728,0.14877338864913975,-0.07264561033169514,-0.022235687148255967,1.864598025514603,0.046407044901060956,-0.007679357400269815,0.011819265163826032,0.05695771052209864
79,0.045856934251076335,5.271028200837147,0.02831703094945725,0.14471744942676207,0.4657006651709674,21.06470674893254,0.21191919962885722,-0.04441833750374058,0.023705423715886242,1.8460265794601536,0.034348959719941785,-0.007557851298956031,0.013020668115837353,0.05760709154081223
80,0.03091989310213807,5.31794104080551,0.02197636652115105,0.2013910886378127,0.49568735599118857,21.232903324609165,0.18885386857369962,-0.05114189875762509,0.04527413833474714,2.0320341094618777,0.045246676547618936,-0.009008964100321037,0.012314369459742736,0.06445915112380796
81,0.04761611785557814,5.589070211301832,0.017860616333423562,0.19380896303088052,0.4722714286301535,23.468258786521485,0.1692329857464324,-0.06129194302880814,-0.004256076952852128,1.7180675966781707,0.03730430670802409,-0.006456365493479055,0.012102739159836062,0.05329128393622984
82,0.04859209196564607,5.716979190869476,0.02304231782311999,0.16755663269166515,0.5862693117639963,22.92746454591526,0.18721089842068384,-0.0535122051721022,0.004258278130467308,1.8271287668009795,0.0356679329966374,-0.007953484731237914,0.011654528790105978,0.05387971600459007
83,0.050104813716255664,8.455450262288563,0.019431613548311584,0.15191298116118473,0.5942786377175042,21.195036999227874,0.17431132112934397,-0.05430530145601309,-0.0013277581022957952,1.817007353949864,0.031710678345559185,-0.007267187420267884,0.013079649587188769,0.05103531037720099
84,0.03324877824929734,5.811435245252612,0.015037752234050369,0.14426700427560893,0.540303584729829,23.056623414682594,0.16046742720948787,-0.06443249929195816,-0.006104761285916083,1.9882885075244279,0.04703922545978556,-0.008878358144259746,0.011771437521357342,0.060097812043546917
85,0.03644019140459069,5.224476666732848,0.023899822614295466,0.2036026160214507,0.597812099451432,23.60920104688067,0.1892951748000398,-0.05410362262184154,0.03399491530576004,2.042308952039754,0.045397812636286394,-0.009562923308581439,0.01137160207158594,0.06154485110185792
86,0.04246936302309798,5.7838997465293085,0.025313092399748563,0.22285734672655755,0.4056138905991008,22.494914856243913,0.19583777539517808,-0.05010437091280584,0.05188522674652585,1.8276064660818263,0.03871483042722823,-0.006452697970371624,0.013413613714630124,0.05997479042822995
87,0.03953377964012809,8.995220129069102,0.015864712406028506,0.163614952533502,0.5644455670172801,23.06097434756729,0.1582892205289134,-0.063705682870008,0.014179061932134696,1.9942846878118201,0.04203331281150846,-0.008046101107905823,0.013564514437192088,0.05669236070056094
88,0.03547896427103982,7.735780378915978,0.024788236485816878,0.1624700300024993,0.552926480578975,24.059487883638,0.1855110396654677,-0.05431999669682508,0.05166659646025917,2.167200342788744,0.0474620247935591,-0.009433044739926011,0.014031300615680031,0.06345066219881623
89,0.03426435942478369,6.72100280197264,0.020901671597226692,0.13089437170796495,0.45522915601380687,23.292894208575824,0.1772709506051486,-0.05693948570356311,0.023035558368442177,2.0518501930667754,0.04690009907883819,-0.008404551121365955,0.013954360238499497,0.06325025013826924
