study,algo,problem,dim,run,value
weights,LSHADE,W0 (Ngo)|DL08,0,0,8.9923235809e-01
weights,LSHADE,W1 (equal)|DL01,0,0,8.9883223508e-01
weights,LSHADE,W1 (equal)|DL02,0,0,8.7532023664e-01
weights,LSHADE,W1 (equal)|DL03,0,0,8.4674303595e-01
weights,LSHADE,W1 (equal)|DL04,0,0,8.9358547942e-01
weights,LSHADE,W1 (equal)|DL05,0,0,9.1988160601e-01
weights,LSHADE,W1 (equal)|DL06,0,0,9.0853864679e-01
weights,LSHADE,W1 (equal)|DL07,0,0,8.8828572304e-01
weights,LSHADE,W1 (equal)|DL08,0,0,8.6578300845e-01
weights,LSHADE,W2 (balance)|DL01,0,0,9.4835088112e-01
weights,LSHADE,W2 (balance)|DL02,0,0,9.3404124434e-01
weights,LSHADE,W2 (balance)|DL03,0,0,9.2248634357e-01
weights,LSHADE,W2 (balance)|DL04,0,0,9.3921075585e-01
weights,LSHADE,W2 (balance)|DL05,0,0,9.5233308644e-01
weights,LSHADE,W2 (balance)|DL06,0,0,9.4568316512e-01
weights,LSHADE,W2 (balance)|DL07,0,0,9.3637172070e-01
weights,LSHADE,W2 (balance)|DL08,0,0,9.3271056320e-01
weights,LSHADE,W3 (overlap)|DL01,0,0,9.3842114905e-01
weights,LSHADE,W3 (overlap)|DL02,0,0,9.2242494418e-01
weights,LSHADE,W3 (overlap)|DL03,0,0,9.1807083560e-01
weights,LSHADE,W3 (overlap)|DL04,0,0,9.3289532824e-01
weights,LSHADE,W3 (overlap)|DL05,0,0,9.5337565082e-01
weights,LSHADE,W3 (overlap)|DL06,0,0,9.5162735030e-01
weights,LSHADE,W3 (overlap)|DL07,0,0,9.3635725767e-01
weights,LSHADE,W3 (overlap)|DL08,0,0,9.2347312083e-01
weights,LSHADE,W4 (structure)|DL01,0,0,9.2550600059e-01
weights,LSHADE,W4 (structure)|DL02,0,0,9.2330029341e-01
weights,LSHADE,W4 (structure)|DL03,0,0,9.1245831136e-01
weights,LSHADE,W4 (structure)|DL04,0,0,9.2600084659e-01
weights,LSHADE,W4 (structure)|DL05,0,0,9.5809850952e-01
weights,LSHADE,W4 (structure)|DL06,0,0,9.5094871852e-01
weights,LSHADE,W4 (structure)|DL07,0,0,9.2865508569e-01
weights,LSHADE,W4 (structure)|DL08,0,0,9.1408646509e-01
weights,MSSBOA,W0 (Ngo)|DL01,0,1,9.1778216590e-01
weights,MSSBOA,W0 (Ngo)|DL02,0,1,9.0598909245e-01
weights,MSSBOA,W0 (Ngo)|DL03,0,1,8.7973683098e-01
weights,MSSBOA,W0 (Ngo)|DL04,0,1,9.1536007671e-01
weights,MSSBOA,W0 (Ngo)|DL05,0,1,9.2579723902e-01
weights,MSSBOA,W0 (Ngo)|DL06,0,1,8.9066181422e-01
weights,MSSBOA,W0 (Ngo)|DL07,0,1,8.9453468022e-01
weights,MSSBOA,W0 (Ngo)|DL08,0,1,8.9939230652e-01
weights,MSSBOA,W1 (equal)|DL01,0,1,9.0183638004e-01
