study,algo,func,dim,run,error
variants,MSSBOA,F6,10,21,3.5991184367e-01
variants,MSSBOA,F6,10,22,6.7851630174e-01
variants,MSSBOA,F6,10,23,1.0474262927e+00
variants,MSSBOA,F6,10,24,1.1290788900e-01
variants,MSSBOA,F6,10,25,1.8012207420e-01
variants,MSSBOA,F6,10,26,8.6979341642e-02
variants,MSSBOA,F6,10,27,2.9667633085e-01
variants,MSSBOA,F6,10,28,2.5299278168e-01
variants,MSSBOA,F6,10,29,7.9082669003e-02
variants,MSSBOA,F7,10,0,2.1831540118e+01
variants,MSSBOA,F7,10,1,2.2274706728e+01
variants,MSSBOA,F7,10,2,2.6616336293e+01
variants,MSSBOA,F7,10,3,2.2515196620e+01
variants,MSSBOA,F7,10,4,2.2150254687e+01
variants,MSSBOA,F7,10,5,3.1744437185e+01
variants,MSSBOA,F7,10,6,2.4213532201e+01
variants,MSSBOA,F7,10,7,2.7578880857e+01
variants,MSSBOA,F7,10,8,2.7476678551e+01
variants,MSSBOA,F7,10,9,2.5162145226e+01
variants,MSSBOA,F7,10,10,4.1557991835e+01
variants,MSSBOA,F7,10,11,1.9584447888e+01
variants,MSSBOA,F7,10,12,3.6565951043e+01
variants,MSSBOA,F7,10,13,1.5871311736e+01
variants,MSSBOA,F7,10,14,2.0640978483e+01
variants,MSSBOA,F7,10,15,1.6444396257e+01
variants,MSSBOA,F7,10,16,2.3848614016e+01
variants,MSSBOA,F7,10,17,3.4481390670e+01
variants,MSSBOA,F7,10,18,2.7763406167e+01
variants,MSSBOA,F7,10,19,2.9030303437e+01
variants,MSSBOA,F7,10,20,2.0024925892e+01
variants,MSSBOA,F7,10,21,2.1213615844e+01
variants,MSSBOA,F7,10,22,2.1222072304e+01
variants,MSSBOA,F7,10,23,2.2954844159e+01
variants,MSSBOA,F7,10,24,1.6255949604e+01
variants,MSSBOA,F7,10,25,2.1079309720e+01
variants,MSSBOA,F7,10,26,2.0375052864e+01
variants,MSSBOA,F7,10,27,2.0882968885e+01
variants,MSSBOA,F7,10,28,2.8269257374e+01
variants,MSSBOA,F7,10,29,2.7993925195e+01
variants,MSSBOA,F8,10,0,1.8905771943e+01
variants,MSSBOA,F8,10,1,1.6422481547e+01
variants,MSSBOA,F8,10,2,1.0945300186e+01
variants,MSSBOA,F8,10,3,1.1431830179e+01
variants,MSSBOA,F8,10,4,2.7860863240e+01
variants,MSSBOA,F8,10,5,6.9687833697e+00
variants,MSSBOA,F8,10,6,8.9592390365e+00
variants,MSSBOA,F8,10,7,1.1980425550e+01
variants,MSSBOA,F8,10,8,2.3095869192e+01
variants,MSSBOA,F8,10,9,1.6917261501e+01
variants,MSSBOA,F8,10,10,1.4924911326e+01
variants,MSSBOA,F8,10,11,1.4944833597e+01
variants,MSSBOA,F8,10,12,1.5012294748e+01
variants,MSSBOA,F8,10,13,8.9915030885e+00
variants,MSSBOA,F8,10,14,1.4938199475e+01
variants,MSSBOA,F8,10,15,1.3929592270e+01
variants,MSSBOA,F8,10,16,1.1954282442e+01
variants,MSSBOA,F8,10,17,1.7316180786e+01
variants,MSSBOA,F8,10,18,1.7026472305e+01
variants,MSSBOA,F8,10,19,1.7945346763e+01
variants,MSSBOA,F8,10,24,8.9553552191e+00
variants,MSSBOA,F8,10,25,1.2097085341e+01
variants,MSSBOA,F8,10,26,1.0944881269e+01
variants,MSSBOA,F8,10,27,1.3935536104e+01
variants,MSSBOA,F8,10,20,2.0235321703e+01
variants,MSSBOA,F8,10,21,2.0894576888e+01
variants,MSSBOA,F8,10,22,1.3197879190e+01
variants,MSSBOA,F8,10,23,1.9963293515e+01
variants,MSSBOA,F8,10,28,1.2936165038e+01
variants,MSSBOA,F8,10,29,1.7916287839e+01
variants,MSSBOA,F9,10,0,1.9209610631e-03
variants,MSSBOA,F9,10,1,2.1776288217e-01
variants,MSSBOA,F9,10,2,4.6525838824e-03
variants,MSSBOA,F9,10,3,1.2696350552e-03
variants,MSSBOA,F9,10,4,2.7045162853e-03
variants,MSSBOA,F9,10,5,5.2006373278e-04
variants,MSSBOA,F9,10,6,6.7502099243e-01
variants,MSSBOA,F9,10,7,1.6996034447e-02
variants,MSSBOA,F9,10,8,4.2098899939e-05
variants,MSSBOA,F9,10,9,1.1569240013e-02
variants,MSSBOA,F9,10,10,9.1629830455e-02
variants,MSSBOA,F9,10,11,1.8839618477e-03
variants,MSSBOA,F9,10,12,6.5781632530e-01
variants,MSSBOA,F9,10,13,5.0234675796e-01
variants,MSSBOA,F9,10,14,1.0168365618e-01
variants,MSSBOA,F9,10,15,7.3687200297e-01
variants,MSSBOA,F9,10,16,2.9175435957e+00
variants,MSSBOA,F9,10,17,1.0597016342e-02
variants,MSSBOA,F9,10,18,1.4480309326e-03
variants,MSSBOA,F9,10,19,2.5038795828e-03
variants,MSSBOA,F9,10,20,8.7268312349e-02
variants,MSSBOA,F9,10,21,1.8847712968e-03
variants,MSSBOA,F9,10,22,7.5861494775e-02
variants,MSSBOA,F9,10,23,5.0579845753e-01
variants,MSSBOA,F9,10,24,2.4180097531e-02
variants,MSSBOA,F9,10,25,9.8155259872e-02
variants,MSSBOA,F9,10,26,6.6450619750e-04
variants,MSSBOA,F9,10,27,2.2604140991e-03
variants,MSSBOA,F9,10,28,1.0965576815e-01
variants,MSSBOA,F9,10,29,8.2858544222e-02
variants,MSSBOA,F10,10,0,1.0383942689e+03
variants,MSSBOA,F10,10,1,3.4624210296e+02
variants,MSSBOA,F10,10,2,6.7611183858e+02
variants,MSSBOA,F10,10,3,9.6692441692e+02
variants,MSSBOA,F10,10,4,4.7623730517e+02
variants,MSSBOA,F10,10,5,7.9747065906e+02
variants,MSSBOA,F10,10,6,8.3284311132e+02
variants,MSSBOA,F10,10,7,3.6050013212e+02
variants,MSSBOA,F10,10,8,8.7261636146e+02
variants,MSSBOA,F10,10,9,4.7075467471e+02
variants,MSSBOA,F10,10,10,3.4031768308e+02
variants,MSSBOA,F10,10,11,1.0088794561e+03
variants,MSSBOA,F10,10,12,6.9576994127e+02
variants,MSSBOA,F10,10,13,8.5833801135e+02
variants,MSSBOA,F10,10,14,1.1242000817e+03
variants,MSSBOA,F10,10,15,1.0891238129e+03
variants,MSSBOA,F10,10,16,5.8088040914e+02
variants,MSSBOA,F10,10,17,5.6741885056e+02
variants,MSSBOA,F10,10,18,1.0371866647e+03
variants,MSSBOA,F10,10,19,4.9605102286e+02
variants,MSSBOA,F10,10,20,7.4384399391e+02
variants,MSSBOA,F10,10,21,7.4447017039e+02
variants,MSSBOA,F10,10,22,3.7910156067e+02
variants,MSSBOA,F10,10,23,7.2937521034e+02
variants,MSSBOA,F10,10,24,6.6884412321e+02
variants,MSSBOA,F10,10,25,8.2974295020e+02
variants,MSSBOA,F10,10,26,5.6392143510e+02
variants,MSSBOA,F10,10,27,6.8885060564e+02
variants,MSSBOA,F10,10,28,2.3777500913e+02
variants,MSSBOA,F10,10,29,5.8219980969e+02
variants,MSSBOA,F11,10,0,4.8749019572e+00
variants,MSSBOA,F11,10,1,3.6681888259e+00
variants,MSSBOA,F11,10,2,7.2447111134e+00
variants,MSSBOA,F11,10,3,3.9993876973e+00
variants,MSSBOA,F11,10,4,5.6486213510e+00
variants,MSSBOA,F11,10,5,6.4636555074e+00
variants,MSSBOA,F11,10,10,1.5288358309e+01
variants,MSSBOA,F11,10,11,5.1842677420e+00
variants,MSSBOA,F11,10,12,8.8055640180e+00
variants,MSSBOA,F11,10,13,4.3626065023e+00
variants,MSSBOA,F11,10,6,6.3596449269e+00
variants,MSSBOA,F11,10,7,4.8214553185e+00
variants,MSSBOA,F11,10,8,9.8084195023e+00
variants,MSSBOA,F11,10,9,3.9078611085e+00
variants,MSSBOA,F11,10,14,7.3104749111e+00
variants,MSSBOA,F11,10,15,8.7936524546e+00
variants,MSSBOA,F11,10,16,1.0665192993e+01
variants,MSSBOA,F11,10,17,7.5038763060e+00
variants,MSSBOA,F11,10,18,1.0878038224e+01
variants,MSSBOA,F11,10,19,8.7749433677e+00
variants,MSSBOA,F11,10,20,5.6955378047e+00
variants,MSSBOA,F11,10,21,1.2146766697e+01
variants,MSSBOA,F11,10,26,6.2603410748e+00
variants,MSSBOA,F11,10,27,5.3252499773e+00
variants,MSSBOA,F11,10,28,5.4311944359e+00
variants,MSSBOA,F11,10,29,6.7694355330e+00
variants,MSSBOA,F11,10,22,1.0643392076e+01
variants,MSSBOA,F11,10,23,8.5704023308e+00
variants,MSSBOA,F11,10,24,2.6282428229e+00
variants,MSSBOA,F11,10,25,6.0831791290e+00
variants,MSSBOA,F12,10,0,1.1753817728e+06
variants,MSSBOA,F12,10,1,4.0452246600e+04
variants,MSSBOA,F12,10,2,3.1558121085e+06
variants,MSSBOA,F12,10,3,1.0507593205e+06
variants,MSSBOA,F12,10,4,1.6173548487e+06
variants,MSSBOA,F12,10,5,1.2783600124e+06
variants,MSSBOA,F12,10,6,7.8284089028e+05
variants,MSSBOA,F12,10,7,2.2231546204e+05
variants,MSSBOA,F12,10,8,1.0422622783e+05
variants,MSSBOA,F12,10,9,1.0206658867e+04
variants,MSSBOA,F12,10,10,1.6767140000e+06
variants,MSSBOA,F12,10,11,7.2859833955e+04
variants,MSSBOA,F12,10,12,4.7126062384e+06
variants,MSSBOA,F12,10,13,1.6900545884e+06
variants,MSSBOA,F12,10,14,1.6764994279e+04
variants,MSSBOA,F12,10,15,5.2128857505e+05
variants,MSSBOA,F12,10,16,1.8184940604e+04
variants,MSSBOA,F12,10,17,1.1219582695e+06
variants,MSSBOA,F12,10,18,1.4380016826e+06
variants,MSSBOA,F12,10,19,3.6747404867e+06
variants,MSSBOA,F12,10,20,1.4832848307e+06
variants,MSSBOA,F12,10,21,3.4594252196e+05
variants,MSSBOA,F12,10,22,6.8369663120e+05
variants,MSSBOA,F12,10,23,1.7551437483e+05
variants,MSSBOA,F12,10,24,9.3301812459e+03
variants,MSSBOA,F12,10,25,1.8546874315e+06
variants,MSSBOA,F12,10,26,9.0012847254e+05
variants,MSSBOA,F12,10,27,6.9336033055e+05
variants,MSSBOA,F12,10,28,8.4500192698e+03
variants,MSSBOA,F12,10,29,6.2787180954e+06
variants,MSSBOA,F13,10,0,3.3255875576e+03
variants,MSSBOA,F13,10,1,7.3637237100e+03
variants,MSSBOA,F13,10,2,1.2693577733e+03
variants,MSSBOA,F13,10,3,1.1791976930e+03
variants,MSSBOA,F13,10,4,8.1918232693e+03
variants,MSSBOA,F13,10,5,1.1127954759e+03
variants,MSSBOA,F13,10,6,1.8162069231e+04
variants,MSSBOA,F13,10,7,2.3520903569e+04
variants,MSSBOA,F13,10,8,1.3111063564e+04
variants,MSSBOA,F13,10,9,1.2574575168e+03
variants,MSSBOA,F13,10,10,1.1098205079e+04
variants,MSSBOA,F13,10,11,6.2825935914e+03
