p_a,ai_share,A,theta_j,m,pi,promo_years,e_j,e_s,H_j,emp_rate_j,u_rate_j,u_rate_s,throughput,mentoring,w_j,w_s,wage_ratio,U_j,U_s,Y,welfare,U_total,plan_m,plan_mentoring,plan_welfare,plan_throughput,wedge_mentoring,wedge_throughput,welfare_gap_pct
0.33934667500506993,0.5878450232860002,0.0836055354732306,2.9676547579263666,0.024924202492726703,0.39224068354607894,2.549455071716251,0.05861823467265457,0.8799774425482687,0.03735392393106687,0.7299746283418118,0.27002537165818824,0.04318896396791524,0.022992456436266493,0.0014610127507474159,0.337003417836087,0.5997739731242229,1.7797266774782183,8.139564220201734,8.76238076579687,1.0228720030614284,0.9880473855077136,0.06140432277907675,0.31818194239152564,0.007075900249428578,0.9984609386251618,0.02415908675630948,3.8431474987529937,0.050739699052026355,1.0539528032956769
0.33504509743458316,0.6081498519407753,0.08930898127828604,2.7800148586411164,0.026138856891429994,0.3997778841251718,2.50138899551256,0.05754459599921596,0.8804555109856183,0.037103482851212274,0.7211307683482191,0.2788692316517809,0.04319350584726432,0.023005056831404382,0.0015041499596986608,0.3347876755491159,0.5996872275463048,1.7912464267470505,8.134699318141541,8.761097998822528,1.0247228356969542,0.9885947531114861,0.061999893015165834,0.32230179993992103,0.007131597199310801,0.9989906956340684,0.024162023139250758,3.741280716943632,0.05029182567664825,1.0515878715583238
0.33074351986409634,0.6271193667010312,0.09513174854526774,2.607422012106633,0.027315203871317046,0.4068795918716071,2.4577295592538713,0.05656464865852046,0.8808332289288436,0.03687334008187719,0.7124015331149891,0.2875984668850109,0.043196627729184485,0.023015001160539655,0.0015450749100169067,0.3324907939622244,0.5996276185321143,1.8034412664076358,8.129275052268643,8.760216522235348,1.0265592518379207,0.9891307658571806,0.0626021224126359,0.3264234027450548,0.0071870357564251,0.9995413044819401,0.024164908865698075,3.6515775447718957,0.04996339983375675,1.052493662527798
0.32644194229360957,0.6448924003639797,0.10109662857111094,2.4487744844698636,0.028451268850813054,0.41356595912611427,2.4179939812093103,0.05566848218853149,0.8811219293374148,0.036661367365585236,0.7038052363230005,0.29619476367699954,0.04319848588923368,0.023022589229395034,0.0015838389532626073,0.33011198861256624,0.5995921451148618,1.8163295057380335,8.123345809348,8.759691955387302,1.0283911877825715,0.9896596654290843,0.06320958847405364,0.3305467165054085,0.007242220062809215,1.0001137053909543,0.024167745416340435,3.5725735232680718,0.04974054723103327,1.0563267683883604
0.32214036472312274,0.6615878713043577,0.1072258963104227,2.3030549371821722,0.029545351599077153,0.4198554487802185,2.3817721144390087,0.054847655762139964,0.8813316704031119,0.036465762786280505,0.6953610431418794,0.3046389568581206,0.04319921837613691,0.02302808712455621,0.0016204932738775753,0.32765067814220133,0.5995781627551864,1.829931090498057,8.11696247256934,8.759485190043826,1.030227864240989,0.990185434618894,0.06382067383474818,0.33467170816487096,0.007297154151314333,1.000708896206991,0.02417053421395906,3.503045010395777,0.04961102862011435,1.062776851706304
0.3178387871526359,0.677308388941179,0.11354167239925404,2.1693208468396112,0.030596024915955432,0.42576517024271504,2.348712553048743,0.054094923061716406,0.8814714969979363,0.036284990276758806,0.6870886168610508,0.3129113831389492,0.04319894872957622,0.023031734126638257,0.0016550896138229673,0.3251065056046789,0.5995833099246717,1.844267338820188,8.110173341044952,8.75956130423749,1.032077974123475,0.9907118742892175,0.06443357994034739,0.33879834586051655,0.007351841949706961,1.0013279366999026,0.02417327662646853,3.4419600535861576,0.049563897080158625,1.071559015914847
0.31353720958214915,0.6921430791185217,0.12006623366482046,2.0466969083848974,0.03160213195038303,0.431311146134504,2.3185118422331494,0.05340401733838355,0.881549637944321,0.03611773217430913,0.6790077688353873,0.32099223116461273,0.04319778878262747,0.023033747926405133,0.0016876808026081399,0.32247935351455737,0.5996054527685963,1.859360750490741,8.10302476854281,8.759888743592636,1.0339498279081127,0.9912426614723916,0.06504634471729555,0.342926598873506,0.007406287284583764,1.0019719532517748,0.02417597396977866,3.3884407958768605,0.04958923953770089,1.0824081929086793
0.3092356320116623,0.7061698204748919,0.12682228791502445,1.93436898550953,0.03256278133350325,0.43650852092243314,2.290906023751363,0.05276948199343438,0.8815736538947543,0.03596285162318843,0.6711381190547125,0.32886188094528745,0.04319584076110835,0.023034328534797012,0.001718321103234441,0.3197693524175033,0.5996426436246516,1.8752348813019917,8.095561578804533,8.760438707633956,1.0358514667470526,0.9917813929123243,0.06565686411181128,0.3470564375827835,0.0074604938851086005,1.0026421439739548,0.024178627510490883,3.3417344238312134,0.04967798275366375,1.0950750981260526
0.3049340544411755,0.7194570312598833,0.1338332249702544,1.8315792587999284,0.0334773395892054,0.44137172061969765,2.2656639591589,0.052186535981822484,0.8815505468873671,0.03581936249502528,0.6634987754550479,0.33650122454495207,0.04319319883809727,0.02303366117947875,0.001747066387047758,0.3169768829563371,0.5996930902620292,1.8919142767412338,8.087827303034738,8.761184694688048,1.0377907509345337,0.9923316173266539,0.06626291713081041,0.3511878334213457,0.007514465386581476,1.003339784298545,0.02418123846844146,3.3011905227480396,0.049821749135787075,1.1093234136333452
0.3006324768706887,0.7320651097104826,0.14112335327738193,1.7376222890666357,0.034345420557307264,0.4459145712812889,2.2425820199743742,0.05165096611777879,0.881486840077185,0.03568640511152955,0.6561080400628789,0.3438919599371211,0.043189950264704804,0.02303191841267371,0.0017739741535063407,0.3141025716374139,0.5997551334529128,1.9094244606989195,8.079864277338817,8.762102170050305,1.0397754296162758,0.9928968589719253,0.06686219380503619,0.35532075883492936,0.007568205333849214,1.004066233095691,0.024183808019103355,3.266243292716701,0.05001275125201032,1.124927934139186
