i,err,r,omega,delta_j,delta_s,phi,eta,rho,psi,wedge_mentoring,wedge_throughput,welfare_gap_pct,gain_s_m,gain_s_v,gain_s_w,gain_t_a
22,5.151434834260859e-14,0.045035195437172465,0.02937024426574856,0.1798245749194379,0.09762197268434522,0.2296173501145197,0.4618587897478157,0.366734863699435,0.2606611818842649,13.166990513941803,0.06459877522533208,1.355643219065228,0.7771943543075865,0.048911478313029555,-0.16384766050632216,
23,4.7961634663805614e-14,0.039987927018040645,0.029184245415689057,0.22209312214783244,0.06543313749605281,0.26338584301381507,0.48282076771867316,0.41186326714884347,0.35173129131882963,4.467798733529267,0.063998385713538,1.409086803039994,0.43952140990768385,0.028130068509968353,-0.06726466460156288,
28,1.731947918415229e-14,0.04360189095744281,0.0226458166520696,0.21109155064141732,0.07763004296736392,0.10891477176814374,0.44773953024406105,0.479004026393377,0.2519177834159995,5.885188817613438,0.039411677013053925,0.7555119545565425,0.37908696472617187,0.020872692953965988,-0.05253430926254188,
32,7.70494779089829e-14,0.03359565602669443,0.020393410886324657,0.24157556099787755,0.08848400601223674,0.17893107063320074,0.46589713321887755,0.5351771004974955,0.3824325986545595,6.46523900800612,0.054259216217852124,1.145211445965133,0.620932121504425,0.042896502311284834,-0.15293589555268605,
33,3.9968028886504834e-14,0.052540563200713264,0.023089281349864738,0.2704843836732138,0.09839396414835488,0.1447002259494411,0.5727051518708605,0.42288820581031905,0.3704053328469959,9.308909686980547,0.06442607965975089,1.2829108222735863,0.8105768341426067,0.04072231668785786,-0.23438058092666303,
35,2.0095036745715535e-14,0.0525031160400765,0.028385558738614293,0.2577633264296987,0.08755052986159882,0.1564738659659199,0.4071428557433138,0.4658614048819565,0.30478661954818115,5.390452546984098,0.05771822778244995,1.183056960450224,0.460432060216287,0.029425919012804336,-0.05766961088307099,
38,2.908784324517868e-14,0.034044470770147814,0.025249861777092764,0.26289742896661245,0.08455874502697601,0.12010903221802288,0.43541614533267253,0.3643165619952129,0.3735171993797828,4.9938136884799835,0.06105495804316652,1.207067503474546,0.5005683741797773,0.03147531293681283,-0.08997714950200741,
39,6.650235917504909e-14,0.047582419652593674,0.022740174318330524,0.17682565594209454,0.10629312130474808,0.11116764952976488,0.43317432487719787,0.6120589099267146,0.36758176977530704,15.134427309026563,0.0675780762038729,1.4113722995753752,1.0695090926930106,0.13119983155140957,-0.4969078184179798,
40,7.882583474838643e-15,0.03007018789672541,0.02776755247108667,0.23748143776404856,0.10931409687801344,0.19855331603847404,0.5621260282966565,0.6204334155387395,0.28199910188119126,20.304396915238012,0.07147817316556448,1.435030666872139,1.0130188677921481,0.05521232997005576,-0.3487008739099906,
41,2.3425705819591078e-14,0.042573846864869626,0.031929288713864405,0.24535082049111878,0.09123921854858036,0.25602267859921934,0.42847228717820285,0.42009826941265677,0.3479028253988259,6.408105368303433,0.07674564963896557,1.6843686358928744,0.6302481108397373,0.04110217914512493,-0.10044255009381553,
42,5.7731597280508306e-15,0.03261239706620486,0.023502976861588937,0.2659221453266814,0.0686948221573506,0.23095554801097465,0.5391180499764809,0.6274160017329562,0.3091239549451718,5.686987107845424,0.04971017587048143,1.0229181486090422,0.44935204780287563,0.019720680840062954,-0.07141050062682286,
47,3.9857006584043915e-14,0.04326602648778322,0.026212773690502143,0.175738030336643,0.06800106724990646,0.1485107174676188,0.5460526132876635,0.3711044444321045,0.48563580411497076,4.173132367691131,0.07535169764157579,1.5144942651724058,0.6227987869948493,0.041574129938437565,-0.1937289775787554,
50,1.5543122344752072e-14,0.04718316178088641,0.02741247048773102,0.2598779232256926,0.08188834475845555,0.19768218297868628,0.40543669782870545,0.5711490679954759,0.2795056058448428,5.177043305256217,0.05100639761961978,1.090861117945785,0.41094714800054,0.026435170044258882,-0.04381444206563723,
51,2.3980817331903094e-14,0.04435152990991986,0.02681659043997814,0.20819297692707417,0.09818732890553192,0.22919740649078843,0.4814958289910273,0.4321080531156904,0.4257208530761124,8.157922048337683,0.08026908981626546,1.7430166777802514,0.9752561996645426,0.0776033674951826,-0.30301814635007585,
53,2.4202861936828706e-14,0.037519620656093836,0.021254954131151346,0.2490783775223835,0.08964768377005225,0.27986220485098856,0.4544587856845847,0.4409752713790002,0.4486938364341339,5.593333330684317,0.06288870454881357,1.4744528490970632,0.7396773041889348,0.060035966070337565,-0.19557250215976874,
54,1.756372824957152e-13,0.05337604739419159,0.025471470908290984,0.19243527824027443,0.10745144865053272,0.12403951184559456,0.5298823420086312,0.5574197985767075,0.35218838645615635,16.426092241834088,0.07420853402195382,1.4918116909185652,1.1077089634044635,0.09179055174686201,-0.4987428028506713,
55,1.9984014443252798e-15,0.045451515552814445,0.02092351017429091,0.22983832216412137,0.0882505223830871,0.1354475619757768,0.49390984089352064,0.4105653203954139,0.2611892898393832,8.637528185095212,0.042496608352160736,0.833877615301315,0.5038047583414862,0.02592985414198168,-0.09502348595520349,
56,1.9984014443253017e-14,0.03866045398198666,0.02707090858146048,0.22031263003057344,0.07717006010357187,0.18054374252610284,0.40158433180639674,0.5477049639933385,0.4061008396015289,4.0855286409854426,0.06666172522410863,1.4456236019599444,0.47574025375749507,0.039053984925718765,-0.08541422336835192,
57,2.975397705995464e-14,0.04908883616011102,0.020331721635956354,0.232415459336202,0.06916753737376322,0.12845951112361284,0.5269275580617526,0.42923446966190404,0.48305445893366855,3.7691219279009385,0.05810325687798534,1.1857114970383886,0.5427852122366517,0.03559919855686822,-0.15174495497183305,
59,2.453592884421626e-14,0.0546743905806544,0.030973032761778502,0.2260205107047359,0.06734594225941791,0.1681326228360922,0.5715506656244158,0.5751702466346766,0.2637623415599206,6.116805987778261,0.05584453309192061,1.0621697017509257,0.44390096462330053,0.01750620563463201,-0.059299701184190035,
60,6.328271240363412e-15,0.04524280976880474,0.03070382312241653,0.24102934602639797,0.08600232035183247,0.13830612039206974,0.575808761406238,0.4561526214004066,0.35440822682224354,7.788754636975719,0.07790636818205798,1.4817141827459857,0.7181525406651179,0.03008406730502511,-0.15935953229119226,
61,7.460698725480774e-14,0.03642832466675689,0.02833597778518697,0.25214511907991777,0.10142225582670482,0.2685505621526517,0.4493906262101405,0.4253867208161598,0.4460608767462073,6.924954840694577,0.08597844801551302,1.9444073576464271,0.951417271038002,0.07470229885448987,-0.24813697377128463,
65,2.9309887850103704e-14,0.03838402799155426,0.03025042236426484,0.18903196374989695,0.0783056014520274,0.21816342932340524,0.5652847621821249,0.47390877578888013,0.390472434756729,6.902998710599285,0.08056650701363943,1.6222985164280335,0.7342165141035695,0.03806363858278594,-0.19199979530671873,
66,1.6875389974302237e-14,0.037822714271039816,0.028269841136747936,0.2740265738709276,0.07078319409193154,0.26200883252107754,0.4196195457316953,0.5251959696461065,0.31491066183927263,4.280293568409017,0.05581970887727761,1.2823128849016152,0.38498654745258154,0.026749572805151445,-0.04072336638497598,
70,1.5543122344752072e-14,0.031627707266795105,0.020565877059840653,0.18402874054888557,0.10884331471120212,0.13987510949468646,0.5792511952399825,0.47174905746122897,0.4138330148003798,27.604988058323965,0.06989466402388511,1.4921892653068536,,0.25555064028834895,-0.6558721817926605,
74,1.3988810110276875e-14,0.04515685336642319,0.021022217034195226,0.2646369381614788,0.0893475722539988,0.11507244296781563,0.43761659740317466,0.38605188716846284,0.3182455670944421,6.0867015933849515,0.046790223849904944,0.928975033565238,0.48014439302022094,0.02921299998663862,-0.08220119697908146,
