NER_T,DUR_T,SE_T,MM_T,NER_mean,DUR_mean,person_years,policy
0.631561685286489,15.459508719685005,0.5838658979997933,0.4600709456027143,0.4353661744899903,6.778653513695169,85922.6943506425,Baseline
0.3091491453525542,2.5729173783985573,0.37810855981462804,0.3238109798512604,0.2263767688250314,1.5756129798955072,42744.94170240815,Baseline
0.6441636101914852,19.67894042908258,0.6860192708052291,0.49486273443193673,0.3890209100729066,6.954327353086422,76712.52292203048,Baseline
0.3074086668470017,3.246217320295017,0.2132880445884534,0.39840626687035996,0.2101798363048808,1.7144239311202814,33511.44605907948,Baseline
0.6827940595286861,30.670445117674173,0.69102187858298,0.5109227415599259,0.4276172012093739,11.001735829696662,57963.70999957771,Baseline
0.5515951411802142,12.185635176318918,0.7201310019062113,0.46049485285801023,0.3467337550531015,4.91260692827341,54961.96145140902,Baseline
0.6657201518130613,22.11677188734609,0.6271293271834488,0.5011174091943599,0.4601613938944398,9.206984375296809,77837.61829067988,Baseline
0.7566198603210953,32.81721997619982,0.686454266243944,0.46578353439614795,0.5099662836655258,12.445325850239696,102386.44300117146,Baseline
0.20976745222589538,1.7438221572197916,0.19983854959582034,0.3673373135427603,0.1660711751772698,1.1857925185476133,24507.317812348025,Baseline
0.590188314300981,12.863090328210745,0.555262493930766,0.4495549576504819,0.4164019611295394,6.173043042440302,68965.2935191744,Baseline
0.7182447363788143,32.54863671803469,0.687478513101791,0.5104003197479385,0.46543471494999983,11.886241659567597,77293.22062117155,Baseline
0.6955537614633117,29.619573087875064,0.6655176135628079,0.5205737076513054,0.4669816899319088,11.050918835924941,76786.37989805527,Baseline
0.4898899791840575,8.485215819089351,0.6612444105863072,0.4242608679055541,0.2942961337188342,3.3965207511425635,48122.12590439425,Baseline
0.5469901350155835,9.068388331803227,0.5184559364186856,0.38402953268351847,0.3741214888598806,4.546043892882842,61210.759834066055,Baseline
0.6757435375273756,19.374658048804395,0.6155240522657691,0.46514002156595163,0.47249760165183624,8.325405491395681,95985.66340470932,Baseline
0.5909978097589719,12.190156756845811,0.6736481653541264,0.4221579589369944,0.3743262286919546,4.9998775539172,72115.41554545614,Baseline
0.5575980381206885,13.120691734170352,0.7452261135359416,0.47435717200556154,0.33557057774263904,4.9873674139279425,53972.63030305882,Baseline
0.6230600065498204,15.54942411306559,0.5862214621697563,0.46178452483109006,0.422398765278947,6.778069915870289,75022.10133123535,Baseline
0.593349061744271,15.71377912865251,0.6951322795539739,0.47571714759480394,0.353669587231552,5.76300380186719,57570.65007099542,Baseline
0.6424674156602688,23.120231997377235,0.8096024566878466,0.5206547259812825,0.38202991868849284,8.02671677204956,61569.49685905292,Baseline
0.7506776197965593,40.576604874494194,0.6894779149852154,0.5387572851183413,0.5017461877943115,13.951497572249421,101610.59786038261,Baseline
0.4889469516904631,5.816730576636624,0.43738487358821,0.3321669349257252,0.37259302533891814,3.6871604050840343,64629.14682320561,Baseline
0.7009624392714155,37.44783811774815,0.6888873584480049,0.5557536814905673,0.4643435852140835,13.125991190881093,68600.73683050275,Baseline
0.3468094634176643,3.9583178706519817,0.3523940118555149,0.40532462771672007,0.23382670011506632,2.010988438973842,38886.29237606174,Baseline
0.6825151760880898,23.698275592940227,0.6346040636812746,0.504911027425153,0.46189188534677766,9.203503278959088,90487.4101177747,Baseline
0.7135537412360762,27.901467806068574,0.7039468709446112,0.5009164652432198,0.467947039847462,10.726054301784078,87262.4546182441,Baseline
0.4956108437806672,6.927738473641504,0.476956696916693,0.3572318371328262,0.35053420930036533,3.865382767203456,51581.672339378965,Baseline
0.5563584008445275,10.939820851014117,0.5366468841627741,0.43885305701012856,0.37078404696590983,5.094753946305785,59655.49270961339,Baseline
0.6468284652293766,18.17940920141796,0.5975785858599639,0.4928553390281781,0.4389591245838906,7.438253177645484,91292.88504086531,Baseline
0.6168353409055914,18.301456063614822,0.6212864193496019,0.48912716102614384,0.375043072650369,6.833142470573129,58980.55714379295,Baseline
0.8179802404828478,63.91561789380592,0.7295202155623917,0.5323331994146842,0.5533149318361409,21.149259458408018,118709.28437224834,Baseline
0.5512438554773462,8.618442626705928,0.5476907112351115,0.36907323890851823,0.36298007855280273,4.096174459942001,68801.40048498017,Baseline
0.5144489087867966,7.095052408941675,0.46513997403401236,0.38021260364432297,0.37593751457508046,4.0099614749602575,71197.46550259521,Baseline
0.471322805515809,6.547004902621783,0.5696907094593177,0.38046731498899655,0.3116308877546656,3.195516646998059,51671.72325907879,Baseline
0.5003306722393769,7.1334953364173215,0.4825023905731215,0.37136316264232394,0.34102632887274653,3.7036019365332535,55378.42361476849,Baseline
0.521202747899633,7.87573779112554,0.4901963364562948,0.3765897219297572,0.36991041827164206,4.289401687310146,58360.6234165816,Baseline
0.5900320204861974,14.728321049368214,0.5804414140840694,0.4627296415634533,0.39768426413398006,6.59855146689654,55994.54084137151,Baseline
0.39310137083347263,4.020252263529388,0.4703731756441402,0.3385749251062364,0.27048478621498967,2.1966124540061513,49460.714315940015,Baseline
0.3096431639323552,2.871131753105438,0.4098002982379616,0.3420373009347755,0.21567887853517975,1.6274506898119285,34706.176321467385,Baseline
0.6922289719810613,29.457315735237426,0.6593647753441247,0.5324016658405929,0.46448480652775787,10.986129411136522,78626.51535646249,Baseline
0.697608783732984,29.055037145420705,0.6639264141806802,0.5151165149539185,0.46552544650768335,10.847686659348444,78534.62322416827,Baseline
0.6099956003473074,19.56310259316245,0.6621687996798776,0.5043793941829374,0.3616146211427099,7.064828908016922,52059.52794761103,Baseline
0.7374799400965921,30.4322653559576,0.6639318087690442,0.49821420469011457,0.5119733016707951,11.770795189721841,109035.93500244521,Baseline
0.3330401952448151,4.402647696809275,0.48454314204584253,0.4404631595243546,0.2165658873863568,2.1212192890571058,29224.869787830576,Baseline
0.7376130292303557,37.80984401078742,0.6939244452716186,0.520658459637869,0.49347977382777397,13.418206138979688,86072.46562367782,Baseline
0.3660393347865063,5.119051657430182,0.481981313179067,0.4632246791278986,0.23096140378663335,2.2505665445476066,38374.55050221853,Baseline
0.7808355099937945,58.94825886766412,0.7536806670093488,0.5103402967594973,0.5136541664829422,19.631007730222983,73419.90786594567,Baseline
0.6430225216925002,15.576679949144975,0.5836031297970736,0.4548948149663105,0.45291775747313695,7.039090250478284,94110.96296356124,Baseline
0.5771659693648679,11.152501045562838,0.5403166734126709,0.43943119513921725,0.3776269349511785,4.932522460944285,76918.17040567269,Baseline
